year,season_type,game_id,team,opp,week,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa,attempts_rb,yards_rb,td_rb,epa_rb,attempts_qb_designed,yards_qb_designed,td_qb_designed,epa_qb_designed,attempts_qb_scramble,yards_qb_scramble,td_qb_scramble,epa_qb_scramble,attempts_qb_kneel,yards_qb_kneel,epa_qb_kneel,attempts_wr,yards_wr,td_wr,epa_wr,attempts_other,yards_other,td_other,epa_other
2020,POST,2020_18_BAL_TEN,BAL,TEN,18,35,236,2,0,0,0,6.378528513945639,32,190,1,0,0,0,3.984500537975691,1,48,1,0,0,0,5.6897225829889075,2,-2,0,0,0,0,-3.2956946070189588,33,238,2,0,0,0,9.674223120964598,17,81,1,1.0405586517299528,13,90,0,1.5317352809361178,1,48,1,5.6897225829889075,2,-2,-3.2956946070189588,2,19,0,1.4122066053096205,0,0,0,0.0
2020,POST,2020_18_BAL_TEN,TEN,BAL,18,22,51,0,0,0,0,-4.666148928168695,21,47,0,0,0,0,-4.618170540488791,1,4,0,0,0,0,-0.0479783876799047,0,0,0,0,0,0,0.0,22,51,0,0,0,0,-4.666148928168695,20,45,0,-6.646984146267641,1,2,0,2.0288136057788506,1,4,0,-0.0479783876799047,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_18_CHI_NO,CHI,NO,18,19,48,0,0,0,0,-8.76904697023565,16,38,0,0,0,0,-5.190295455220621,3,10,0,0,0,0,-3.5787515150150284,0,0,0,0,0,0,0.0,19,48,0,0,0,0,-8.76904697023565,13,31,0,-4.133066140057053,0,0,0,0.0,3,10,0,-3.5787515150150284,0,0,0.0,3,7,0,-1.0572293151635677,0,0,0,0.0
2020,POST,2020_18_CHI_NO,NO,CHI,18,35,123,1,1,0,0,-8.546761908943555,35,123,1,1,0,0,-8.546761908943555,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,35,123,1,1,0,0,-8.546761908943555,27,108,1,-2.411688837597867,7,17,0,-4.792657108977438,0,0,0,0.0,0,0,0.0,1,-2,0,-1.34241596236825,0,0,0,0.0
2020,POST,2020_18_CLE_PIT,CLE,PIT,18,31,127,2,0,0,0,-1.3900409225144101,26,124,2,0,0,0,0.7980192336134935,2,8,0,0,0,0,-0.131965669686906,3,-5,0,0,0,0,-2.0560944864409976,28,132,2,0,0,0,0.6660535639265874,26,124,2,0.7980192336134935,0,0,0,0.0,2,8,0,-0.131965669686906,3,-5,-2.0560944864409976,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_18_CLE_PIT,PIT,CLE,18,16,52,1,1,1,0,-6.517311523668466,16,52,1,1,1,0,-6.517311523668466,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,16,52,1,1,1,0,-6.517311523668466,13,50,1,2.694559331284836,1,0,0,-8.032719670794902,0,0,0,0.0,0,0,0.0,0,0,0,0.0,2,2,0,-1.1791511841583997
2020,POST,2020_18_IND_BUF,BUF,IND,18,21,96,1,0,0,0,0.09912246226123855,18,72,1,0,0,0,-0.8392725309331404,3,24,0,0,0,0,0.9383949931943789,0,0,0,0,0,0,0.0,21,96,1,0,0,0,0.09912246226123855,10,42,0,-1.3137723277905025,8,30,1,0.47449979685736204,3,24,0,0.9383949931943789,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,POST,2020_18_IND_BUF,IND,BUF,18,30,163,1,0,0,0,1.580254847271136,29,164,1,0,0,0,1.580254847271136,0,0,0,0,0,0,0.0,1,-1,0,0,0,0,0.0,29,164,1,0,0,0,1.580254847271136,27,153,1,1.027123298466905,1,0,0,-0.2562996052438393,0,0,0,0.0,1,-1,0.0,1,11,0,0.8094311540480703,0,0,0,0.0
2020,POST,2020_18_LA_SEA,LA,SEA,18,43,164,1,0,0,0,-6.977131180343717,40,160,1,0,0,0,-5.2060463802139605,1,6,0,0,0,0,0.5066672042012215,2,-2,0,0,0,0,-2.277752004330978,41,166,1,0,0,0,-4.699379176012739,37,161,1,-1.7615067370301447,2,2,0,-2.5743652915698476,1,6,0,0.5066672042012215,2,-2,-2.277752004330978,1,-3,0,-0.8701743516139686,0,0,0,0.0
2020,POST,2020_18_LA_SEA,SEA,LA,18,25,136,0,0,0,0,0.09687412342104085,21,86,0,0,0,0,-2.8504802235402176,4,50,0,0,0,0,2.947354346961258,0,0,0,0,0,0,0.0,25,136,0,0,0,0,0.09687412342104085,20,82,0,-2.8267774395644674,0,0,0,0.0,4,50,0,2.947354346961258,0,0,0.0,1,4,0,-0.023702783975750208,0,0,0,0.0
